"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.91006176792807,0.169316660238996
1,"CS1","beta",0.504565402918556,0.000562926572676006
1,"CS1","lambda",2.49557180868276,0.650508830575416
1,"CS2","alpha",1.79462668403351,0.205264595464581
1,"CS2","beta",0.512001744654129,0.00169746234759162
1,"CS2","lambda",2.4011812397143,0.678284975598857
1,"CS3","alpha",1.9127951066106,0.317548095958188
1,"CS3","beta",0.497177468604543,0.0011712339758147
1,"CS3","lambda",2.27171549882566,0.851267720010457
1,"CS4","alpha",2.06416761562281,0.565939564828612
1,"CS4","beta",0.522429771911494,0.00153534296291163
1,"CS4","lambda",2.46583773912293,0.710456783676398
1,"CS5","alpha",1.83803477181229,0.214151200344633
1,"CS5","beta",0.495282534663463,0.000680509235299141
1,"CS5","lambda",2.22852712526106,0.351042813482324
1,"CS6","alpha",2.05506858356956,0.421234628024332
1,"CS6","beta",0.50887713182135,0.000808067316660512
1,"CS6","lambda",2.41622566282767,0.52078550144189
1,"CS7","alpha",1.87363215582087,0.17675315970723
1,"CS7","beta",0.512370145479401,0.000784787887829163
1,"CS7","lambda",2.26615023214152,0.445003743692117
2,"CS1","alpha",3.26127825986056,0.959371704797438
2,"CS1","beta",1.21979174547224,0.0054245597693806
2,"CS1","lambda",3.25617532108862,0.635746599703577
2,"CS2","alpha",3.14656296641957,1.09281708291927
2,"CS2","beta",1.22840910232066,0.00937038707082646
2,"CS2","lambda",3.39781163487835,1.21643675222103
2,"CS3","alpha",3.1044816371023,1.01311547305309
2,"CS3","beta",1.22115102165932,0.00280963189697902
2,"CS3","lambda",3.67639326004877,0.954683776818219
2,"CS4","alpha",2.93886008389243,0.529047007330091
2,"CS4","beta",1.20134878473001,0.00277099342756287
2,"CS4","lambda",3.44658812820823,0.805712755117273
2,"CS5","alpha",2.78513907983948,0.365655468753121
2,"CS5","beta",1.18972041555097,0.00253639567992429
2,"CS5","lambda",3.39217747372217,0.773732935197224
2,"CS6","alpha",3.17343507816017,1.25562870601586
2,"CS6","beta",1.19251426642719,0.00473580071235717
2,"CS6","lambda",3.09916837546072,0.466906240600173
2,"CS7","alpha",2.90527112889591,0.99986364779572
2,"CS7","beta",1.20983660384525,0.00566668187370116
2,"CS7","lambda",3.7532894851535,1.34570749086313
