"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.69562540491817,0.0990392670100245
1,"CS1","beta",0.500601186786499,0.000477401800850938
1,"CS1","lambda",2.33021829811829,0.407223864757252
1,"CS2","alpha",1.63048876863351,0.120326619176338
1,"CS2","beta",0.509113452490493,0.0018568418695995
1,"CS2","lambda",2.22835592237592,0.467903611142193
1,"CS3","alpha",1.63930465758422,0.0695826153994617
1,"CS3","beta",0.489567221664149,0.000986128386759888
1,"CS3","lambda",2.02317171650447,0.443544265014499
1,"CS4","alpha",1.78649984303351,0.250479528267941
1,"CS4","beta",0.515590309502885,0.00137965880497302
1,"CS4","lambda",2.12407803540123,0.24754019700762
1,"CS5","alpha",1.65613740770956,0.0902305663264472
1,"CS5","beta",0.491190307675851,0.000736822428637499
1,"CS5","lambda",2.01478523423005,0.192494648576363
1,"CS6","alpha",1.81047215586542,0.168697513706389
1,"CS6","beta",0.502430279193829,0.000608734146400134
1,"CS6","lambda",2.0738862195556,0.146942300476464
1,"CS7","alpha",1.71842459552421,0.100108534655678
1,"CS7","beta",0.507318137107443,0.000704961179758067
1,"CS7","lambda",1.98483155407012,0.180131880943884
2,"CS1","alpha",2.67289782774842,0.244683150280386
2,"CS1","beta",1.20774427981178,0.00540311525781805
2,"CS1","lambda",2.90506407930724,0.273482629777185
2,"CS2","alpha",2.67540545445715,0.329637164067637
2,"CS2","beta",1.21784409562364,0.00767471109905676
2,"CS2","lambda",3.05061114310045,0.415460518086667
2,"CS3","alpha",2.71925108638794,0.627999874853017
2,"CS3","beta",1.21217550034631,0.00368981467545692
2,"CS3","lambda",3.14466737946474,0.505677685159271
2,"CS4","alpha",2.5457994485704,0.212565816231589
2,"CS4","beta",1.19155537572162,0.00289897668612604
2,"CS4","lambda",3.03625091608025,0.503034733351889
2,"CS5","alpha",2.43580489369366,0.215358467769495
2,"CS5","beta",1.18000328934518,0.00277386620074443
2,"CS5","lambda",3.12732910759584,0.495718169611181
2,"CS6","alpha",2.66644262790802,0.511737950791185
2,"CS6","beta",1.18043395015805,0.00501926145584106
2,"CS6","lambda",2.92181050049622,0.463105144355685
2,"CS7","alpha",2.55496074710876,0.514702901796483
2,"CS7","beta",1.20040422841368,0.00629034242324456
2,"CS7","lambda",3.07928625878384,0.444136322421002
