"Parameter","MLE","SELF","LINEX","BCI_Lower","BCI_Upper"
"alpha",0.221406591422904,0.231025554809645,0.227469090379697,0.126068536699387,0.356866949602003
"beta",0.0140429596175992,0.0156852238945799,0.0156731231925604,0.00882133135905186,0.0227471571817728
"lambda",1.001,1.13773200308142,1.11976354070557,1.00732448276167,1.51628932182179
