"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.64826315415439,0.13778948220081
1,"CS1","beta",0.505863843503639,0.0012545477041742
1,"CS1","lambda",1.91707721392218,0.227202417039989
1,"CS2","alpha",1.69536237466803,0.112877223977024
1,"CS2","beta",0.514950387434291,0.00139577440710679
1,"CS2","lambda",1.88962583401003,0.162137516845188
1,"CS3","alpha",1.63264754501548,0.110101200305203
1,"CS3","beta",0.508406169545224,0.00102989759316557
1,"CS3","lambda",1.94992989663037,0.180809895489381
1,"CS4","alpha",1.65067552196986,0.111267608267829
1,"CS4","beta",0.512141106069413,0.0010542894404323
1,"CS4","lambda",1.92961426748747,0.235285270318181
1,"CS5","alpha",1.62648797927249,0.0790323413643768
1,"CS5","beta",0.510931102116675,0.0011190769484046
1,"CS5","lambda",1.98628123792391,0.163592157903651
1,"CS6","alpha",1.67554142604788,0.188921912927102
1,"CS6","beta",0.514970521200483,0.00164552719014077
1,"CS6","lambda",1.97470659605775,0.169673320943971
1,"CS7","alpha",1.66808747020295,0.111312453386117
1,"CS7","beta",0.51099002732642,0.00116843160646046
1,"CS7","lambda",1.92394852307163,0.204176802964237
2,"CS1","alpha",2.47488606630203,0.430184755187238
2,"CS1","beta",1.20680662960044,0.00629766687610603
2,"CS1","lambda",2.71508896312678,0.590513565875049
2,"CS2","alpha",2.40705386291836,0.206690578791262
2,"CS2","beta",1.20050080646965,0.00427713795172769
2,"CS2","lambda",2.66656020703229,0.571029401090395
2,"CS3","alpha",2.40406597681822,0.230488414999841
2,"CS3","beta",1.19498799672402,0.00491499457673446
2,"CS3","lambda",2.67139131730858,0.474262064504328
2,"CS4","alpha",2.42092593922806,0.239308455501414
2,"CS4","beta",1.20036984798983,0.00452786921281212
2,"CS4","lambda",2.60203445809548,0.552339758652498
2,"CS5","alpha",2.49097087676193,0.268017006711829
2,"CS5","beta",1.20517784978992,0.00529844205699319
2,"CS5","lambda",2.66072969731689,0.434793290769555
2,"CS6","alpha",2.46680928291618,0.402171226802425
2,"CS6","beta",1.19692640173331,0.00638923052165708
2,"CS6","lambda",2.51964238010513,0.543429517289173
2,"CS7","alpha",2.3715971541667,0.242991981935017
2,"CS7","beta",1.18144098006995,0.00475477223331322
2,"CS7","lambda",2.55492987104497,0.5051186935229
