"Parameter","MLE","SELF","LINEX","BCI_Lower","BCI_Upper"
"alpha",0.221406591422904,0.212298154793524,0.208203787680339,0.101077980534985,0.357952265116869
"beta",0.0140429596175992,0.0153162426181171,0.0153037621415933,0.00878959755096712,0.0225268811886573
"lambda",1.001,1.30012105675434,1.21054757258655,1.01,2.42325157304471
