"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.72743828023616,0.100953242879862
1,"CS1","beta",0.504935854243736,0.000621238334802799
1,"CS1","lambda",2.29731514859423,0.559143473448458
1,"CS2","alpha",1.65247555402788,0.198153987700735
1,"CS2","beta",0.510483760286849,0.00203574488299809
1,"CS2","lambda",2.22923248584479,0.675416953252666
1,"CS3","alpha",1.72323498652067,0.120546897016283
1,"CS3","beta",0.492874977658329,0.00102438926067049
1,"CS3","lambda",1.90962702943759,0.462455986362123
1,"CS4","alpha",1.84680638791624,0.342030033808274
1,"CS4","beta",0.519916694475231,0.00154907150089463
1,"CS4","lambda",2.11443251933382,0.419631474577733
1,"CS5","alpha",1.7041567476057,0.149823987109845
1,"CS5","beta",0.493406694756238,0.000779581545685464
1,"CS5","lambda",1.97671132490186,0.30829744155045
1,"CS6","alpha",1.85945295741192,0.219537175272117
1,"CS6","beta",0.505280404592778,0.000740604100989206
1,"CS6","lambda",2.01033960998829,0.184925633070578
1,"CS7","alpha",1.74368168964802,0.130186911768051
1,"CS7","beta",0.51027799383968,0.000742919284797186
1,"CS7","lambda",1.9785804085757,0.314215119947451
2,"CS1","alpha",3.00241222487656,0.686239208509329
2,"CS1","beta",1.24548361627132,0.00974013183545041
2,"CS1","lambda",3.06023918070813,0.761430670594972
2,"CS2","alpha",2.9789107353508,1.1418798465444
2,"CS2","beta",1.25057120057114,0.0153250454340193
2,"CS2","lambda",3.21056194971757,1.02795148478821
2,"CS3","alpha",2.86213145456888,1.05098419304334
2,"CS3","beta",1.2420523825807,0.00638262649385724
2,"CS3","lambda",3.5220374260534,1.31560101798585
2,"CS4","alpha",2.70015287906928,0.306425490047596
2,"CS4","beta",1.21436928493631,0.00350182869488729
2,"CS4","lambda",3.15651569548993,0.884731025583387
2,"CS5","alpha",2.57751319923249,0.350603743817658
2,"CS5","beta",1.20516468770531,0.00271373213071202
2,"CS5","lambda",3.29497300459052,0.800603230966137
2,"CS6","alpha",2.87637453476361,0.740148569888024
2,"CS6","beta",1.20874993849383,0.00529074855604523
2,"CS6","lambda",3.00966925106619,0.62131563050684
2,"CS7","alpha",2.62153184544177,0.563085897603931
2,"CS7","beta",1.22593557724411,0.00712065298542361
2,"CS7","lambda",3.40683162040951,1.19265044994399
