"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.78901229147938,0.22439687518148
1,"CS1","beta",0.506970656685831,0.00127237806325757
1,"CS1","lambda",2.12174236775942,0.349593561507337
1,"CS2","alpha",1.82038745644418,0.189220750675885
1,"CS2","beta",0.516049236698474,0.00143576510400308
1,"CS2","lambda",2.08562726783772,0.223291944692253
1,"CS3","alpha",1.74664329365651,0.170239980155953
1,"CS3","beta",0.509394560079812,0.0010521120371612
1,"CS3","lambda",2.14441955843231,0.27000384288281
1,"CS4","alpha",1.77782507733087,0.176516631155221
1,"CS4","beta",0.513140154878165,0.00108301776943105
1,"CS4","lambda",2.14149672313651,0.348672533268797
1,"CS5","alpha",1.7436952206963,0.129736291381817
1,"CS5","beta",0.511948877710138,0.00114755362772005
1,"CS5","lambda",2.21189527901102,0.296655579663506
1,"CS6","alpha",1.80621856989453,0.291432691733826
1,"CS6","beta",0.51606537308188,0.001688062430055
1,"CS6","lambda",2.20135584093244,0.303229168839959
1,"CS7","alpha",1.79151958856619,0.182846348728046
1,"CS7","beta",0.512052624476261,0.00119646127806019
1,"CS7","lambda",2.1430949633353,0.355418891071069
2,"CS1","alpha",2.83692697445795,0.832339900819195
2,"CS1","beta",1.21190306170925,0.00638205795071805
2,"CS1","lambda",3.11592535114214,0.718405770051254
2,"CS2","alpha",2.67245090312285,0.351302519640197
2,"CS2","beta",1.20528496854784,0.00434063918123755
2,"CS2","lambda",3.06767996575683,0.718043773742074
2,"CS3","alpha",2.66609465806454,0.357853091788397
2,"CS3","beta",1.1992911285626,0.00491783931940819
2,"CS3","lambda",3.05840686722363,0.554778476532789
2,"CS4","alpha",2.70338473556033,0.42733208458609
2,"CS4","beta",1.20466354467102,0.00457472121876126
2,"CS4","lambda",2.95484359509805,0.559871046406066
2,"CS5","alpha",2.76559416958334,0.442402683248311
2,"CS5","beta",1.20975979925746,0.00537518851100492
2,"CS5","lambda",3.06209618680589,0.51188999146594
2,"CS6","alpha",2.76676357239611,0.66918580314723
2,"CS6","beta",1.20161317139344,0.00638152042071761
2,"CS6","lambda",2.86066889555414,0.459536835050753
2,"CS7","alpha",2.62813698532512,0.329371278111406
2,"CS7","beta",1.18597059819842,0.00461348598378269
2,"CS7","lambda",2.91872112079056,0.461470062154927
